appid,name,developer,publisher,score_rank,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,price,initialprice,discount,tags,languages,genre
334310,Plebby Quest: The Crusades,PiedPipers Team,NEOWIZ,,"500,000 .. 1,000,000",214,0,98,0,25,399.0,1999.0,80.0,"Single-player, Steam Achievements, Steam Cloud, Stats, Family Sharing","English, Korean, German, Simplified Chinese, Traditional Chinese","Action, Adventure, Casual, Indie, RPG, Simulation, Strategy"
1003400,The Lord of the Rings: Journeys in Middle-earth,Fantasy Flight Games,Fantasy Flight Games,,"100,000 .. 200,000",48,0,6,0,25,0.0,0.0,0.0,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Cloud, Remote Play Together","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Czech, Polish, Portuguese - Brazil, Korean, Russian, Hungarian, Simplified Chinese, Ukrainian<br><strong>*</strong>languages with full audio support","Adventure, RPG, Strategy"
2183650,MEGA MAN X DiVE Offline,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,"100,000 .. 200,000",141,0,193,0,24,2999.0,2999.0,0.0,"Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","English, Japanese<strong>*</strong>, Thai, Traditional Chinese, Portuguese - Brazil, French, German, Simplified Chinese, Spanish - Latin America<br><strong>*</strong>languages with full audio support","Action, RPG"
1452250,Underground Garage,BeardedBrothers.games,BeardedBrothers.games,,"0 .. 20,000",16,0,16,0,24,2499.0,2499.0,0.0,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Turkish<br><strong>*</strong>languages with full audio support","Simulation, Early Access"
2788200,Boink,Lettuce Studios,Lettuce Studios,,"0 .. 20,000",0,0,0,0,24,299.0,299.0,0.0,"Single-player, Steam Cloud, Family Sharing",English,"Casual, Indie, Simulation, Strategy, Early Access"
745330,StrikeForce Kitty,Creepy Brothers,Creepy Brothers,,"100,000 .. 200,000",155,0,304,0,24,239.0,799.0,70.0,"Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Family Sharing","English, Russian, French, German, Spanish - Spain, Traditional Chinese, Portuguese - Portugal, Polish, Romanian, Ukrainian, Turkish, Korean, Hungarian","Adventure, Casual, Indie"
1187510,Rock Simulator,vinoo,vinoo,,"0 .. 20,000",0,0,0,0,24,199.0,199.0,0.0,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Stats, Family Sharing","English<strong>*</strong>, French<strong>*</strong>, German<strong>*</strong>, Japanese<strong>*</strong>, Korean<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese<strong>*</strong><br><strong>*</strong>languages with full audio support","Casual, Indie, Simulation"
530890,Haydee,Haydee Interactive,Haydee Interactive,,"200,000 .. 500,000",128,0,85,0,24,1499.0,1499.0,0.0,"Single-player, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing","English, Russian, German, Japanese, Polish, Korean, Spanish - Spain, Ukrainian, Hungarian, Traditional Chinese, French, Italian, Czech, Norwegian, Dutch, Simplified Chinese, Romanian, Portuguese - Brazil, Turkish","Action, Indie"
2865490,恋爱单选题,无忧传媒,"无忧传媒, 指间宇宙",,"50,000 .. 100,000",100,0,154,0,24,1099.0,1099.0,0.0,"Single-player, Family Sharing",Simplified Chinese<strong>*</strong><br><strong>*</strong>languages with full audio support,"Adventure, Indie, RPG, Simulation, Strategy"
2602030,Entropy Survivors,Moving Pieces Interactive,First Break Labs,,"0 .. 20,000",358,0,358,0,24,999.0,999.0,0.0,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","English, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, French, Italian, German, Japanese, Korean, Polish, Russian, Traditional Chinese",Action
728740,Sniper Elite V2 Remastered,Rebellion,Rebellion,,"200,000 .. 500,000",125,0,116,0,24,999.0,999.0,0.0,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Japanese, Polish, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support",Action
1979440,SAND LAND,"ILCA, Inc.",Bandai Namco Entertainment Inc.,,"20,000 .. 50,000",0,0,0,0,24,5999.0,5999.0,0.0,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Japanese<strong>*</strong>, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Korean, Polish<br><strong>*</strong>languages with full audio support","Action, RPG"
2314160,Tactical Assault VR,HammerFire Interactive,2080 Games,,"100,000 .. 200,000",0,0,0,0,24,1499.0,1499.0,0.0,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Only, Family Sharing",English<strong>*</strong><br><strong>*</strong>languages with full audio support,"Action, Simulation, Early Access"
